328	None
329	None
330	Wind
331	Water
332	None
333	Wind
334	Fire
335	Dark
336	None
337	None
338	Fire
339	Water
340	None
341	None
342	None
343	Fire
344	Wind
345	Earth
346	Earth
347	Dark
348	Light
349	None
350	None
351	None
352	None
353	None
354	None
355	None
356	None
357	None
358	None
359	Earth
360	None
361	None
362	None
363	None
364	Fire
365	Wind
366	None
367	None
368	Wind
369	Earth
370	None
371	None
372	None
373	None
374	Light
375	Earth
376	None
377	None
378	Water
379	Fire
380	Water
381	None
382	Light
383	None
384	None
385	None
386	None
387	None
388	None
389	Dark
390	Water
391	Light
392	Dark
393	Earth
394	Earth
395	None
396	None
397	None
398	None
399	None
400	Water
401	Dark
402	Earth
403	None
404	None
405	None
406	Fire
407	None
408	Water
409	Dark
410	Earth
411	None
412	Light
413	Wind
414	None
415	Dark
416	Wind
417	None
418	None
419	None
420	None
421	None
422	None
423	None
424	None
425	None
426	None
427	Earth
428	None
429	None
430	None
431	None
432	None
433	None
434	Earth
435	None
436	Fire
437	Water
438	Wind
439	Earth
440	Dark
441	Water
442	None
443	None
444	None
445	Light
446	None
447	None
448	None
449	None
450	None
451	Light
452	None
453	None
454	None
455	None
456	Dark
457	None
458	Dark
459	Fire
460	Water
461	Wind
462	Earth
463	None
464	Light
465	None
466	None
467	None
468	None
469	None
470	None
471	None
472	Fire
473	Earth
474	Dark
475	Fire
476	Water
477	Wind
478	Earth
479	Light
480	Earth
481	Light
482	Love
483	Wind
484	Love
485	Love
486	Dark
487	Fire
488	Water
489	Earth
490	Light
491	Wind
492	Wind
493	Fire
494	Wind
495	Light
496	Earth
497	Water
498	Dark
499	Love
500	Love
501	Light
502	Dark
503	Earth
504	Love
505	Love
506	Love
507	Water
508	None
509	None
510	Wind
511	Water
512	None
513	Wind
514	Fire
515	None
516	None
517	None
518	Fire
519	Water
520	Dark
521	FireWater
522	None
523	Fire
524	EarthWind
525	Earth
526	None
527	Dark
528	Light
529	None
530	Wind
531	None
532	None
533	None
534	None
535	None
536	None
537	None
538	None
539	None
540	None
541	None
542	None
543	Fire
544	Water
545	Wind
546	Earth
547	Light
548	Dark
549	None
550	None
551	None
552	None
553	None
554	None
555	None
556	None
557	None
558	None
559	Earth
560	Earth
561	Earth
562	Earth
563	Earth
564	Water
565	Water
566	Water
567	Water
568	Water
569	None
570	None
571	None
572	Wind
573	Wind
574	None
575	None
576	None
577	None
578	None
579	None
580	None
581	None
582	None
583	None
584	None
585	None
586	None
587	None
588	None
