0	None	なし
1	[Cabbage]	[キャベツ]
2	[King Cabbage]	[キングキャベツ]
3	[Pink Turnip]	[サクラカブ]
4	[Colossal Pink]	[おおきなサクラカブ]
5	[Pink Melon]	[オトメロン]
6	[Conqueror Melon]	[キングオトメロン]
7	[Onion]	[タマネギ]
8	[Ultra Onion]	[超タマネギ]
9	[Pumpkin]	[カボチャ]
10	[Doom Pumpkin]	[びっくりカボチャ]
11	[Cucumber]	[キュウリ]
12	[Kaiser Cucumber]	[カイザーキュウリ]
13	[Corn]	[トウモロコシ]
14	[Gigant Corn]	[大トウモロコシ]
15	[Tomato]	[トマト]
16	[Titan Tomato]	[ラージトマト]
17	[Eggplant]	[ナス]
18	[Emperor Eggplant]	[おおきなナス]
19	[Yam]	[サツマイモ]
20	[Lordly Yam]	[王様サツマイモ]
21	[Potato]	[ジャガイモ]
22	[Princely Potato]	[超ジャガイモ]
23	[Carrot]	[ニンジン]
24	[Royal Carrot]	[皇帝ニンジン]
25	[Green Pepper]	[ピーマン]
26	[Green Pepper Rex]	[ビッグピーマン]
27	[Spinach]	[ホウレン草]
28	[Sovereign Spinach]	[大ホウレン草]
29	[Turnip]	[カブ]
30	[Tyrant Turnip]	[おおきなカブ]
31	[Radish]	[大根]
32	[Noble Radish]	[王様大根]
33	[Leek]	[ネギ]
34	[Legendary Leek]	[ビッグネギ]
35	[Bok Choy]	[白菜]
36	[Boss Bok Choy]	[大白菜]
37	[Hot-Hot Fruit]	[ほかほかの実]
38	[Giant Hot-Hot Fruit]	[キングほかほかの実]
39	[Bamboo Sprout]	[タケノコ]
40	[Golden Cabbage]	[金のキャベツ]
41	[Golden King Cabbage]	[キング金のキャベツ]
42	[Golden Pumpkin]	[金のカボチャ]
43	[Gldn. Doom Pumpkin]	[びっくり金のカボチャ]
44	[Golden Potato]	[金のジャガイモ]
45	[Gold Prince Potato]	[超金のジャガイモ]
46	[Golden Turnip]	[金のカブ]
47	[Golden Tyrant Turnip]	[おおきな金のカブ]
48	[Mushroom]	[きのこ]
49	[Mushroom]	[きのこ]
50	[Mushroom]	[きのこ]
51	[Mushroom]	[きのこ]
52	[Mushroom]	[きのこ]
53	[Mushroom]	[きのこ]
54	[Monarch Mushroom]	[極上きのこ]
55	[Strawberry]	[イチゴ]
56	[Sultan Strawberry]	[スゴイチゴ]
57	[Pineapple]	[パイナップル]
58	[King Pineapple]	[キングパイナップル]
59	[Grapes]	[ブドウ]
60	[Apple]	[リンゴ]
61	[Orange]	[オレンジ]
62	[Mealy Apple]	[無力のリンゴ]
63	[Toyherb]	[トイハーブ]
64	[Ultra Toyherb]	[超トイハーブ]
65	[Moondrop Flower]	[ムーンドロップ草]
66	[Ultra Moondrop Flower]	[大ムーンドロップ草]
67	[Pink Cat]	[ピンクキャット]
68	[King Pink Cat]	[キングピンクキャット]
69	[Charm Blue]	[チャームブルー]
70	[Great Charm Blue]	[大チャームブルー]
71	[Medicinal Herb]	[薬草]
72	[Antidote Grass]	[毒消し草]
73	[Black Grass]	[黒い草]
74	[Orange Grass]	[だいだい草]
75	[Red Grass]	[赤い草]
76	[Yellow Grass]	[黄の草]
77	[Blue Grass]	[青い草]
78	[Green Grass]	[緑の草]
79	[Purple Grass]	[紫の草]
80	[Indigo Grass]	[藍の草]
81	[White Grass]	[白い草]
82	[Weeds]	[雑草]
83	[Withered Grass]	[枯草]
84	[Cherry Grass]	[サクラ草]
85	[King Cherry Grass]	[キングサクラ草]
86	[Lamp Grass]	[ランプ草]
87	[Kaiser Lamp Grass]	[カイザーランプ草]
88	[Blue Crystal]	[青水晶]
89	[Big Blue Crystal]	[おおきな青水晶]
90	[Emery Flower]	[金剛花]
91	[Great Emery Flower]	[大金剛花]
92	[Ironleaf]	[鉄千輪]
