0	charasprites/rf5/BU_Are_101.png
1	charasprites/rf5/BU_Ali_101.png
2	charasprites/rf5/BU_Prs_101.png
3	charasprites/rf5/BU_Luy_120.png
4	charasprites/rf5/BU_Sca_101.png
5	charasprites/rf5/BU_Fuq_101.png
6	charasprites/rf5/BU_Bea_101.png
7	charasprites/rf5/BU_Ldm_101.png
8	charasprites/rf5/BU_Mtn_101.png
9	charasprites/rf5/BU_Cec_101.png
10	charasprites/rf5/BU_Mur_101.png
11	charasprites/rf5/BU_Lyk_101.png
12	charasprites/rf5/BU_Reh_101.png
13	charasprites/rf5/BU_Lcs_101.png
14	charasprites/rf5/BU_Els_101.png
15	charasprites/rf5/BU_Hez_101.png
16	charasprites/rf5/BU_Pal_101.png
17	charasprites/rf5/BU_Rad_101.png
18	charasprites/rf5/BU_Yuk_101.png
19	charasprites/rf5/BU_Sim_101.png
20	charasprites/rf5/BU_Mis_101.png
21	charasprites/rf5/BU_Ter_101.png
22	charasprites/rf5/BU_Riv_101.png
24	charasprites/rf5/BU_Led_101.png
26	charasprites/rf5/BU_Dou_101.png
27	charasprites/rf5/BU_Jul_101.png
28	charasprites/rf5/BU_Hna_101.png
32	charasprites/rf5/BU_Dag_101.png
33	charasprites/rf5/BU_Mag_100.png
37	charasprites/rf5/BU_CB101_101.png
38	charasprites/rf5/BU_CB201_101.png
39	charasprites/rf5/BU_CB301_101.png
40	charasprites/rf5/BU_CG101_101.png
41	charasprites/rf5/BU_CG201_101.png
42	charasprites/rf5/BU_CG301_101.png
